TopicArea,DatasetName,DataSource,Creator/Publisher,size(MB),Availability,DatePublished,LastUpdateDate,DataSetCharastrestic,MisingValues,Instances,NumberOfAtributes,ListOfAtributes,URL,Citation,Unnamed: 15
Tobacco Use,BRFSS Prevalence and Trends Data: Tobacco Use - Four Level Smoking Data for 1995-2010,http://www.cdc.gov/brfss,Behavioral Risk Factor Surveillance System (BRFSS),--,Free,2013-06-11,2013-08-02,Available online,No,876.0,7,year- State- Smoke every day- Smoke some day- former smoker- never smoked- location 1,https://data.cdc.gov/Smoking-Tobacco-Use/BRFSS-Prevalence-and-Trends-Data-Tobacco-Use-Four-/8zak-ewtm#:~:text=BRFSS%20Prevalence%20and%20Trends%20Data%3A%20Tobacco%20Use%20%2D%20Four%20Level%20Smoking%20Data%20for%201995%2D2010,,
Tobacco Use,BRFSS Prevalence And Trends Data: Tobacco Use - Adults Who Are Current Smokers for 1995-2010,http://www.cdc.gov/brfss/,Behavioral Risk Factor Surveillance System (BRFSS),--,Free,2013-06-10,2013-08-01,Available online,No,875.0,6,Year- State- Condition- Yes- No- Location,https://data.cdc.gov/Smoking-Tobacco-Use/BRFSS-Prevalence-And-Trends-Data-Tobacco-Use-Adult/j8jk-5ztv#:~:text=BRFSS%20Prevalence%20And%20Trends%20Data%3A%20Tobacco%20Use%20%2D%20Adults%20Who%20Are%20Current%20Smokers%20for%201995%2D2010,,
Tobacco Use,BRFSS Prevalence and Trends Data: Tobacco Use - Four Level Smoking Data for 2011,http://www.cdc.gov/brfss,Behavioral Risk Factor Surveillance System (BRFSS),--,Free,2013-08-02,2013-09-05,Available online,No,55.0,7,year- State- Smoke every day- Smoke some day- former smoker- never smoked- location 1,https://data.cdc.gov/Smoking-Tobacco-Use/BRFSS-Prevalence-and-Trends-Data-Tobacco-Use-Four-/ya9m-pyut#:~:text=BRFSS%20Prevalence%20and%20Trends%20Data%3A%20Tobacco%20Use%20%2D%20Four%20Level%20Smoking%20Data%20for%202011,,
Mental Health,COMMUNITY MENTAL HEALTH CENTERS PROVIDER LOCATIONS,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,,Free,2019-06-04,2019-06-04,CSV,No,25.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/35707ed5-9baf-4b5a-a194-2faaf3e36e08/resource/95a5aa95-105b-442c-b579-35cdd657fe72/download/community-mental-health-centers.xlsx,"https://hub.mph.in.gov/dataset/community-mental-health-centers/resource/95a5aa95-105b-442c-b579-35cdd657fe72#::~:text=Download-,COMMUNITY%20MENTAL%20HEALTH%20CENTERS%20PROVIDER%20LOCATIONS,-URL%3A%20https",
Coverage Provider,HEALTH COVERAGE PROVIDER LOCATIONS,Indiana Family and Social Services Administration,INDIANA FAMILY AND SOCIAL SERVICES ADMINISTRATION,16.8 KiB,Free,2019-06-04,2019-06-04,XLSX,No,105.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/e73e5e3f-d80a-45ce-a3f9-b3e63c80f0ba/resource/5036bf36-f3f4-473b-a6c7-a67f4d680be5/download/health-coverage-services.xlsx,https://hub.mph.in.gov/dataset/health-coverage,
Mental Health,COMMUNITY MENTAL HEALTH CENTERS PROVIDER LOCATIONS,Indiana Family and Social Services Administration,INDIANA FAMILY AND SOCIAL SERVICES ADMINISTRATION,10.9 KiB,Free,2019-06-04,2019-06-07,XLSX,No,25.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/35707ed5-9baf-4b5a-a194-2faaf3e36e08/resource/4f9dcc0c-d128-4da6-8376-200f7970dd4d/download/fssa-provider-data-dictionary.xlsx,"https://hub.mph.in.gov/dataset/community-mental-health-centers/resource/4f9dcc0c-d128-4da6-8376-200f7970dd4d#:~:text=Data%20API-,FSSA%20PROVIDER%20DATA%20DICTIONARY,-URL%3A%20https",
Mental Health,ADULT MENTAL HEALTH HABILITATION SERVICE PROVIDER LOCATIONS,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,,Free,2019-06-04,2019-06-07,XLSX,No,28.0,8,services-provider name- address- city- state- zipcode- longitude- latitude,https://hub.mph.in.gov/dataset/04a38295-5d07-4948-9b99-358c05316447/resource/59a6ba6a-b91e-4e6c-a599-714ceca9264e/download/fssa-provider-data-dictionary.xlsx,"https://hub.mph.in.gov/dataset/adult-mental-health-habilitation-services/resource/59a6ba6a-b91e-4e6c-a599-714ceca9264e#:~:text=Data%20API-,FSSA%20PROVIDER%20DATA%20DICTIONARY,-URL%3A%20https",
Mental Health,CLAIMS SERVICING MENTAL HEALTH PATIENT BY PROVIDER,,State of Indiana,_,Free,2017-09-14,2019-09-05,XLSX-PDF,No,7000.0,15,"PROVIDER NPI-PROVIDER NAME- PROVIDER ADDR STREET1-PROVIDER ADDR STREET2	PROVIDER ADDR CITY	-PROVIDER ADDR STATE-PROVIDER ADDR ZIP5			
GEO LATITUDE-GEO LONGITUDE-PROVIDER TYPE- PROVIDER SPECIALTY	
TOTAL NUMBER OF CLAIMS FROM MENTAL HEALTH PATIENTS		
TOTAL NUMBER OF MENTAL HEALTH PATIENTS- TOTAL $ AMOUNT OF CLAIMS FROM MENTAL HEALTH PATIENTS- TOTAL NUMBER OF ER CLAIMS FROM MENTAL HEALTH PATIENTS",https://hub.mph.in.gov/dataset/fcdc1ede-0602-4aaa-b046-fc791ff4ede1/resource/61a19681-201c-47a7-bd0a-fef9f97778f6/download/dmha_claims_provider.csv,https://hub.mph.in.gov/dataset/claims-servicing-mental-health-patient-by-provider/resource/61a19681-201c-47a7-bd0a-fef9f97778f6#:~:text=CLAIMS%20SERVICING%20MENTAL%20HEALTH%20PATIENT%20BY...,
Social Services,EQUITY PORTAL - SOCIAL SERVICES HOOSIER HEALTH,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,34.6 MiB,Free,2021-07-21,2023-04-01,CSV,No,239000.0,9,"County- Race- Month_Year                        
Question- Affirmative Responses        
Total Survey Responses-2019 Census Estimate- Affirmative Responses Per Capita- Affirmative Responses rate",https://hub.mph.in.gov/dataset/7694a837-cddb-4858-b874-d3312131b596/resource/3faae0b1-ed7e-4c2f-99c2-f3e3820cf28a/download/equity-portal-fssa-hoosier-health-dataset.csv,https://hub.mph.in.gov/dataset/equity-portal-social-services-hoosier-health/resource/3faae0b1-ed7e-4c2f-99c2-f3e3820cf28a#:~:text=EQUITY%20PORTAL%20%2D%20BY%20COUNTY%20SOCIAL%20SERVICES...,
Social Services,EQUITY PORTAL - BY STATE SOCIAL SERVICES HOOSIER HEALTH,Indiana State Department of Health,Management Performance Hub,572.3 KiB,Free,2021-08-09,2021-08-09,text/csv,No,5000.0,9,"County- Race- Month_Year                        
Question- Affirmative Responses        
Total Survey Responses-2019 Census Estimate- Affirmative Responses Per Capita- Affirmative Responses rate",https://hub.mph.in.gov/dataset/7694a837-cddb-4858-b874-d3312131b596/resource/c2fb17ae-9e37-4aaa-b00c-7aa61aba57a2/download/equity-portal-fssa-hoosier-health-dataset-state.csv,"https://hub.mph.in.gov/dataset/equity-portal-social-services-hoosier-health/resource/c2fb17ae-9e37-4aaa-b00c-7aa61aba57a2#:~:text=Data%20API-,EQUITY%20PORTAL%20%2D%20BY%20STATE%20SOCIAL%20SERVICES%20HOOSIER%20HEALTH,-URL%3A%20https",
Public Health,EQUITY PORTAL - PUBLIC HEALTH COVID CENSUS DATA,Indiana State Department of Health,https://hub.mph.in.gov/dataset/equity-portal-public-health-covid-census-data#:~:text=Management%20Performance%20Hub,1 MiB,Free,2021-07-02,2023-04-01,text/csv,No,20000.0,7,"COUNTY- MONTH- RACE	
POPULATION- CASES- DEATHS",https://hub.mph.in.gov/dataset/90500a78-6cb7-4797-bde1-ebd684add068/resource/53d0068c-2281-4f64-a513-5c5855b62a46/download/equity-portal-public-health-covid-dataset.csv,https://hub.mph.in.gov/dataset/equity-portal-public-health-covid-census-data/resource/53d0068c-2281-4f64-a513-5c5855b62a46#:~:text=EQUITY%20PORTAL%20%2D%20PUBLIC%20HEALTH%20COVID%20DATA,
Infant And Maternal Health,EQUITY PORTAL - INFANT AND MATERNAL HEALTH DATA,Indiana Department of Health,Indiana Department of Health,189.2 KiB,Free,2021-05-27,2023-01-31,text/csv,No,2000.0,9,"YEAR	numeric		
COUNTY_NAME	text		
RACE/ETHNICITY	text		
NO_EARLY_PRENATAL_CARE	text		
BIRTHS	text		
SUIDS	text		
INFANT_DEATH_COUNTS	text		
PRETERM_BIRTH	text		
FEMALE_POPULATION_AGE_15_44	numeric",https://hub.mph.in.gov/dataset/bdc49b3c-6659-45ce-8324-39d2e30ba2bc/resource/e7394275-f482-472d-9950-0a4131aaa4e4/download/equity-portal-infant-and-maternal-health-dataset.csv,https://hub.mph.in.gov/dataset/equity-portal-infant-and-maternal-health-data/resource/e7394275-f482-472d-9950-0a4131aaa4e4#:~:text=EQUITY%20PORTAL%20INFANT%20AND%20MATERNAL%20HEALTH%20DATA,
Maternal Health,MATERNAL HEALTH CLAIMS BY RECIPIENT COUNTY,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,_,Free,2019-08-30,2020-10-05,CSV,No,93.0,11,"COUNTY	text		
TOTAL_CLAIMS	numeric		
TOTAL_COST	numeric		
TOTAL_CLAIMS_PREBIRTHING_EVENT	numeric		
TOTAL_COST_PREBIRTHING_EVENT	numeric		
PREBIRTHING_MEDIAN_COST	numeric		
TOTAL_CLAIMS_POSTBIRTHING_EVENT	numeric		
TOTAL_COST_POSTBIRTHING_EVENT	numeric		
POSTBIRTHING_MEDIAN_COST	numeric",https://hub.mph.in.gov/dataset/ae880b2f-e119-499a-8c82-5238d04c7001/resource/05f64b98-4451-490a-aa64-a4cd0638f59c/download/maternal-health-claims-by-recipient-county.csv,"https://hub.mph.in.gov/dataset/maternal-health-claims-by-recipient-county/resource/05f64b98-4451-490a-aa64-a4cd0638f59c#:~:text=Data%20API-,MATERNAL%20HEALTH%20CLAIMS%20BY%20RECIPIENT%20COUNTY,-URL%3A%20https",
Mental Health Patient,CLAIMS SERVICING MENTAL HEALTH PATIENT BY RECIPIENT ZIP CODE,State of Indiana,Indiana Management Performance Hub,_,Free,2017-09-14,2019-09-05,CSV,No,836.0,6,"ZIP CODE	numeric		
AGE GROUP	text		
TOTAL NUMBER OF CLAIMS FROM MENTAL HEALTH PATIENTS	numeric		
TOTAL NUMBER OF MENTAL HEALTH PATIENTS	numeric		
TOTAL $ AMOUNT OF CLAIMS FROM MENTAL HEALTH PATIENTS	numeric		
TOTAL NUMBER OF ER CLAIMS FROM MENTAL HEALTH PATIENTS	text",https://hub.mph.in.gov/dataset/6cb9b28a-01ca-46e2-a136-fe3cc4b68256/resource/cb6172cd-c6d9-455b-ae39-b4f1a19fd73e/download/dmha_recipient_zip.csv,https://hub.mph.in.gov/dataset/claims-servicing-mental-health-patient-by-recipient-zip-code/resource/cb6172cd-c6d9-455b-ae39-b4f1a19fd73e#:~:text=CLAIMS%20SERVICING%20MENTAL%20HEALTH%20PATIENT%20BY...,
Mental Health,CLAIMS SERVICING MENTAL HEALTH PATIENT BY...,State of Indiana,Indiana Management Performance Hub,_,Free,2017-10-12,2017-10-12,CSV,No,14.0,6,"RACE	text		
GENDER	text		
TOTAL NUMBER OF CLAIMS FROM MENTAL HEALTH PATIENTS	numeric		
TOTAL NUMBER OF MENTAL HEALTH PATIENTS	numeric		
TOTAL $ AMOUNT OF CLAIMS FROM MENTAL HEALTH PATIENTS	numeric		
TOTAL NUMBER OF ER CLAIMS FROM MENTAL HEALTH PATIENTS	numeric",https://hub.mph.in.gov/dataset/cd5adcf3-76cb-480a-b6e1-3e7fc19c91cd/resource/58f24ed2-1019-4c01-a3ad-33ccfba8b779/download/dmha_recipient_race_gender.csv,https://hub.mph.in.gov/dataset/claims-servicing-mental-health-patient-by-recipient-race-and-gender/resource/58f24ed2-1019-4c01-a3ad-33ccfba8b779#:~:text=CLAIMS%20SERVICING%20MENTAL%20HEALTH%20PATIENT%20BY...https://hub.mph.in.gov/dataset/hoosier-health-and-well-being-by-county-and-demographics/resource/a797de9e-fae3-40ef-a06e-88fbd2cda1e1#:~:text=HOOSIER%20HEALTH%20AND%20WELL%2DBEING%20BY%20COUNTY%20AND...,
Hoosier Health And Well-Being,HOOSIER HEALTH AND WELL-BEING BY COUNTY AND DEMOGRAPHICS,Indiana Family and Social Services Administration,Indiana Family and Social Services Administration,258.3 KiB,Free,2021-03-05,2021-03-29,CSV,No,920.0,51,_,https://hub.mph.in.gov/dataset/6e213033-fc59-4f36-b40b-0b8c09b8ae53/resource/a797de9e-fae3-40ef-a06e-88fbd2cda1e1/download/hoosier-health-and-well-being-by-county-and-demographics.csv,https://hub.mph.in.gov/dataset/hoosier-health-and-well-being-by-county-and-demographics/resource/a797de9e-fae3-40ef-a06e-88fbd2cda1e1#:~:text=HOOSIER%20HEALTH%20AND%20WELL%2DBEING%20BY%20COUNTY%20AND...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY YEAR, COUNT, HEALTH INSURANCE TYPE, AND PREGNANCY GROUP",Indiana Department of Health,"https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-count-health-insurance-type-and-pregnancy-group#:~:text=Author-,Indiana%20Department%20of%20Health,-Maintainer",12.7 KiB,Free,2019-09-17,2020-10-02,CSV,No,328.0,5,"ID  numeric                         call_year        numeric                
pregnancygroup        text                
healthinsurance        text                
personid        numeric",https://hub.mph.in.gov/dataset/8466d719-9f1b-42be-90c4-c8be28e78b54/resource/30c0fc2d-cb4d-4482-8ab6-f21f39bd50c2/download/call_year_pgroup_healthins.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-count-health-insurance-type-and-pregnancy-group/resource/30c0fc2d-cb4d-4482-8ab6-f21f39bd50c2#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20COUNT%2C%20HEALTH...,
Tobacco Quitline Calls,"TOBACCO QUITLINE CALLS BY ZIP, COUNT, HEALTH INSURANCE TYPE, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,_,Free,2019-09-17,2020-10-02,text/csv,No,2000.0,4,"zip	numeric		
pregnancygroup	text		
healthinsurance	text		
personid	numeric",https://hub.mph.in.gov/dataset/755d61f9-c923-40e6-9c22-852adbee0355/resource/617c7074-352b-4248-8622-b2280337aa28/download/zip_pgroup_healthins.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-count-health-insurance-type-and-pregnancy-group/resource/617c7074-352b-4248-8622-b2280337aa28#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20COUNT%2C%20HEALTH...,
Tobacco Quitline Calls,"TOBACCO QUITLINE CALLS BY YEAR, COUNT, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,462 bytes,Free,2019-09-17,2020-10-02,CSV,No,21.0,3,"call_year	numeric		
pregnancygroup	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/ddc20be9-0943-4468-babe-a3c9304a48cf/resource/5346de50-476c-46f8-a063-b7d62a27dbb4/download/call_year_pgroup_count.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-count-and-pregnancy-group/resource/5346de50-476c-46f8-a063-b7d62a27dbb4#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20COUNT%2C%20AND...,
Tobacco Quitline Calls,"TOBACCO QUITLINE CALLS BY YEAR, RACIAL DEMOGRAPHIC, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,4.2 KiB,Free,2019-09-17,2020-10-02,CSV,No,127.0,4,"call_year	numeric		
pregnancygroup	text		
race	text		
personid	numeric",https://hub.mph.in.gov/dataset/bf2196c4-6c65-4872-b433-98a219a680b1/resource/4d94f037-61c6-4601-b0d2-e84f6da29f92/download/call_year_pgroup_race.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-racial-demographic-and-pregnancy-group/resource/4d94f037-61c6-4601-b0d2-e84f6da29f92#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20RACIAL...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY ZIP, RACIAL DEMOGRAPHIC, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,31.4 KiB,Free,2019-09-17,2020-10-02,CSV,No,1000.0,4,"zip	numeric		
pregnancygroup	text		
race	text		
personid",https://hub.mph.in.gov/dataset/a8fb1cb6-79db-4ea7-8677-33efbe227afc/resource/05ab7b42-ec89-4bad-815f-2e0d6f191451/download/zip_pgroup_race.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-zip-racial-demographic-and-pregnancy-group/resource/05ab7b42-ec89-4bad-815f-2e0d6f191451#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20ZIP%2C%20RACIAL...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY YEAR, AVERAGE AGE, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,618 bytes,Free,2019-09-17,2020-10-02,CSV,No,21.0,3,call_year  numeric        pregnancygroup   text     avg_age   numeric,https://hub.mph.in.gov/dataset/431a535f-8c25-4ed6-a561-ca5e7908df46/resource/4a781e92-fc43-4531-8321-a1a234719f17/download/call_year_pgroup_age.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-average-age-and-pregnancy-group/resource/4a781e92-fc43-4531-8321-a1a234719f17#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20AVERAGE%20AGE%2C...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY YEAR, AVERAGE CIGARETTES PER DAY, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,636 bytes,Free,2019-09-17,2020-10-02,CSV,No,21.0,3,"call_year	numeric		
pregnancygroup	text		
avg_cigaretteperday	numeric",https://hub.mph.in.gov/dataset/960d4173-886b-4177-839f-483fbcc05705/resource/5c389669-d76d-4eb0-b38b-4d7f8b9f6f06/download/call_year_pgroup_cig_perday.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-average-cigarettes-per-day-and-pregnancy-group/resource/5c389669-d76d-4eb0-b38b-4d7f8b9f6f06#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20AVERAGE...,
Tobacco Quitline Calls,"TOBACCO QUITLINE CALLS BY YEAR, AVERAGE YEARS OF TOBACCO USE, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,530 bytes,Free,2019-09-17,2020-10-02,csv,No,21.0,3,"call_year	numeric		
pregnancygroup	text		
avg_yearsoftobaccouse	numeric",https://hub.mph.in.gov/dataset/054fdc11-6492-4dd5-97d8-e81a7aa6bcb5/resource/3cd3cce4-26fc-40c2-af65-2013eaa69340/download/call_year_pgroup_use.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-average-years-of-tobacco-use-and-pregnancy-group/resource/3cd3cce4-26fc-40c2-af65-2013eaa69340#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20AVERAGE%20YEARS...,
Tobacco Quitline,"TOBACCO QUITLINE CALLS BY YEAR, COUNT, EDUCATION ATTAINMENT LEVEL, AND PREGNANCY GROUP",Indiana Department of Health,Indiana Department of Health,7.1 KiB,Free,2019-09-17,2020-10-02,CSV,No,188.0,4,"call_year	numeric		
pregnancygroup	text		
education	text		
count_personid	numeric",https://hub.mph.in.gov/dataset/1d92abc9-4bcb-446c-9561-eb6d372135ff/resource/c28117eb-604c-445d-8df1-d022ca0318da/download/call_year_pgroup_ed.csv,https://hub.mph.in.gov/dataset/tobacco-quitline-calls-by-year-count-education-attainment-level-and-pregnancy-group/resource/c28117eb-604c-445d-8df1-d022ca0318da#:~:text=TOBACCO%20QUITLINE%20CALLS%20BY%20YEAR%2C%20COUNT%2C...,
